Filename,Clean_filepath,Noisy_filepath,Length (s),Sample Rate (Hz)
p263_415,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p263_415.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p263_415.wav,2.5321041666666666,48000
p323_364,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p323_364.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p323_364.wav,4.001041666666667,48000
p361_361,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p361_361.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p361_361.wav,2.1515416666666667,48000
p303_006,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p303_006.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p303_006.wav,5.67,48000
p249_230,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p249_230.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p249_230.wav,4.3138125,48000
p234_260,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p234_260.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p234_260.wav,2.91,48000
p284_345,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p284_345.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p284_345.wav,1.7607708333333334,48000
p271_331,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p271_331.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p271_331.wav,2.3262708333333335,48000
p336_330,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p336_330.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p336_330.wav,2.7256875,48000
p260_015,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p260_015.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p260_015.wav,4.6245416666666666,48000
p333_039,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p333_039.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p333_039.wav,2.6092291666666667,48000
p234_347,/mnt/sam/Lingzhi/edinburgh/clean_trainset_56spk_wav/p234_347.wav,/mnt/sam/Lingzhi/edinburgh/noisy_trainset_56spk_wav/p234_347.wav,3.124833333333333,48000
